sekolah_id,siap_id,nama,npsn,is_negeri,is_sbi,k_kota,k_propinsi,kota,propinsi,kompetensi,enable,jml_pagu,jml_luar
22010261,20101534,SMP NEGERI 264,20101534,true,false,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,58,0
22010262,20102474,SMP NEGERI 265,20102474,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,51,0
22010263,20100757,SMP NEGERI 266,20100757,true,false,20103,201,Kota Jakarta Utara,DKI Jakarta,Umum,true,44,0
22010264,20102473,SMP NEGERI 267,20102473,true,true,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,45,0
22010265,20103572,SMP NEGERI 268,20103572,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,50,0
22010266,20100253,SMP NEGERI 269,20100253,true,false,20102,201,Kota Jakarta Pusat,DKI Jakarta,Umum,true,45,0
22010267,20100742,SMP NEGERI 270,20100742,true,false,20103,201,Kota Jakarta Utara,DKI Jakarta,Umum,true,38,0
22010268,20101535,SMP NEGERI 271,20101535,true,true,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,51,0
22010269,20103570,SMP NEGERI 272,20103570,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,44,0
22010270,20100255,SMP NEGERI 273,20100255,true,false,20102,201,Kota Jakarta Pusat,DKI Jakarta,Umum,true,45,0
22010271,20101536,SMP NEGERI 274,20101536,true,false,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,39,0
22010272,20103569,SMP NEGERI 275,20103569,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,51,0
22010273,20102472,SMP NEGERI 276,20102472,true,true,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,38,0
22010274,20100743,SMP NEGERI 277,20100743,true,true,20103,201,Kota Jakarta Utara,DKI Jakarta,Umum,true,38,0
22010275,20101547,SMP NEGERI 278,20101547,true,true,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,32,0
22010276,20100744,SMP NEGERI 279,20100744,true,false,20103,201,Kota Jakarta Utara,DKI Jakarta,Umum,true,38,0
22010277,20100271,SMP NEGERI 280,20100271,true,false,20102,201,Kota Jakarta Pusat,DKI Jakarta,Umum,true,38,0
22010278,20103568,SMP NEGERI 281,20103568,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,59,0
22010279,20100745,SMP NEGERI 282,20100745,true,false,20103,201,Kota Jakarta Utara,DKI Jakarta,Umum,true,38,0
22010280,20107179,SMP NEGERI 283,20107179,true,true,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,39,0
22010281,20107180,SMP NEGERI 284,20107180,true,true,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,32,0
22010282,20108854,SMP NEGERI 286,20108854,true,true,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,32,0
22010283,20107181,SMP NEGERI 287,20107181,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,44,0
22010284,20178148,SMP NEGERI 289,20178148,true,false,20103,201,Kota Jakarta Utara,DKI Jakarta,Umum,true,47,0
22010285,20179852,SMP NEGERI 290,20179852,true,false,20103,201,Kota Jakarta Utara,DKI Jakarta,Semua Kompetensi,true,38,0
22010286,20106342,SMP NEGERI 133,20106342,true,false,20101,201,Kab. Kepulauan Seribu,DKI Jakarta,Semua Kompetensi,true,19,0
22010287,20106343,SMP NEGERI 241,20106343,true,false,20101,201,Kab. Kepulauan Seribu,DKI Jakarta,Semua Kompetensi,true,19,0
22010288,20106346,SMP NEGERI 260,20106346,true,false,20101,201,Kab. Kepulauan Seribu,DKI Jakarta,Semua Kompetensi,true,19,0
22010289,20106347,SMP NEGERI 285,20106347,true,false,20101,201,Kab. Kepulauan Seribu,DKI Jakarta,Semua Kompetensi,true,13,0
22010290,20106344,SMP NEGERI 288,20106344,true,false,20101,201,Kab. Kepulauan Seribu,DKI Jakarta,Semua Kompetensi,true,13,0
